Año,Departamento,Municipio,Producto,Área Cosechada,Área Sembrada,Producción,Rendimiento,Ciclo
2022,ANTIOQUIA,JERICO,AGUACATE HASS,1392.0,2392.0,13920.0,10.0,PERMANENTE
2021,ANTIOQUIA,JERICO,AGUACATE HASS,1312.0,2392.0,13120.0,10.0,PERMANENTE
2024,ANTIOQUIA,JERICO,AGUACATE HASS,2062.0,2074.0,22682.0,11.0,PERMANENTE
2020,ANTIOQUIA,JERICO,AGUACATE HASS,392.0,2392.0,3920.0,10.0,PERMANENTE
2023,ANTIOQUIA,JERICO,AGUACATE HASS,1772.0,2372.0,17720.0,10.0,PERMANENTE
2024,ANTIOQUIA,LA CEJA,AGUACATE HASS,733.57,738.57,5868.56,8.0,PERMANENTE
2022,ANTIOQUIA,LA CEJA,AGUACATE HASS,708.57,728.57,5668.56,8.0,PERMANENTE
2021,ANTIOQUIA,LA CEJA,AGUACATE HASS,395.07,709.07,3555.63,9.0,PERMANENTE
2020,ANTIOQUIA,LA CEJA,AGUACATE HASS,382.87,395.07,3445.83,9.0,PERMANENTE
2023,ANTIOQUIA,LA CEJA,AGUACATE HASS,708.57,733.57,5668.56,8.0,PERMANENTE
2020,ANTIOQUIA,LA UNION,AGUACATE HASS,100.31,110.31,1805.58,18.0,PERMANENTE
2022,ANTIOQUIA,LA UNION,AGUACATE HASS,126.12,175.31,2308.0,18.3,PERMANENTE
2023,ANTIOQUIA,LA UNION,AGUACATE HASS,150.31,204.91,2750.67,18.3,PERMANENTE
2024,ANTIOQUIA,LA UNION,AGUACATE HASS,175.31,215.91,3225.7,18.4,PERMANENTE
2021,ANTIOQUIA,LA UNION,AGUACATE HASS,100.31,150.31,1805.58,18.0,PERMANENTE
2020,ANTIOQUIA,LIBORINA,AGUACATE HASS,20.2,63.0,101.0,5.0,PERMANENTE
2022,ANTIOQUIA,LIBORINA,AGUACATE HASS,64.0,74.0,256.0,4.0,PERMANENTE
2023,ANTIOQUIA,LIBORINA,AGUACATE HASS,67.0,87.0,268.0,4.0,PERMANENTE
2024,ANTIOQUIA,LIBORINA,AGUACATE HASS,66.0,86.0,264.0,4.0,PERMANENTE
2021,ANTIOQUIA,LIBORINA,AGUACATE HASS,58.0,71.0,290.0,5.0,PERMANENTE
2022,ANTIOQUIA,MARINILLA,AGUACATE HASS,285.0,285.0,2850.0,10.0,PERMANENTE
2021,ANTIOQUIA,MARINILLA,AGUACATE HASS,200.0,285.0,1600.0,8.0,PERMANENTE
2024,ANTIOQUIA,MARINILLA,AGUACATE HASS,281.0,319.0,2810.0,10.0,PERMANENTE
