Año,Departamento,Municipio,Producto,Área Cosechada,Área Sembrada,Producción,Rendimiento,Ciclo
2023,ANTIOQUIA,ENVIGADO,AGUACATE HASS,"0,80","0,80","8,00","10,00",PERMANENTE
2024,ANTIOQUIA,FREDONIA,AGUACATE HASS,"152,00","252,00","912,00","6,00",PERMANENTE
2022,ANTIOQUIA,FREDONIA,AGUACATE HASS,"50,00","252,00","300,00","6,00",PERMANENTE
2021,ANTIOQUIA,FREDONIA,AGUACATE HASS,"50,00","100,00","300,00","6,00",PERMANENTE
2020,ANTIOQUIA,FREDONIA,AGUACATE HASS,"40,00","50,00","240,00","6,00",PERMANENTE
2023,ANTIOQUIA,FREDONIA,AGUACATE HASS,"50,00","252,00","300,00","6,00",PERMANENTE
2023,ANTIOQUIA,FRONTINO,AGUACATE HASS,"4,00","4,00","32,00","8,00",PERMANENTE
2024,ANTIOQUIA,FRONTINO,AGUACATE HASS,"4,00","4,00","32,00","8,00",PERMANENTE
2023,ANTIOQUIA,GIRALDO,AGUACATE HASS,"2,00","2,00","8,00","4,00",PERMANENTE
2024,ANTIOQUIA,GIRALDO,AGUACATE HASS,"1,00","1,00","4,00","4,00",PERMANENTE
2024,ANTIOQUIA,GIRARDOTA,AGUACATE HASS,"7,00","13,00","84,00","12,00",PERMANENTE
2021,ANTIOQUIA,GIRARDOTA,AGUACATE HASS,"6,00","6,00","34,98","5,83",PERMANENTE
2022,ANTIOQUIA,GIRARDOTA,AGUACATE HASS,"6,00","6,00","54,00","9,00",PERMANENTE
2020,ANTIOQUIA,GIRARDOTA,AGUACATE HASS,"6,00","6,00","18,00","3,00",PERMANENTE
2023,ANTIOQUIA,GIRARDOTA,AGUACATE HASS,"6,00","7,00","72,00","12,00",PERMANENTE
2022,ANTIOQUIA,GRANADA,AGUACATE HASS,"220,00","220,00","1.980,00","9,00",PERMANENTE
2020,ANTIOQUIA,GRANADA,AGUACATE HASS,"198,00","220,00","1.782,00","9,00",PERMANENTE
2023,ANTIOQUIA,GRANADA,AGUACATE HASS,"180,00","190,00","1.620,00","9,00",PERMANENTE
2024,ANTIOQUIA,GRANADA,AGUACATE HASS,"180,00","190,00","1.620,00","9,00",PERMANENTE
2021,ANTIOQUIA,GRANADA,AGUACATE HASS,"198,00","220,00","1.782,00","9,00",PERMANENTE
2021,ANTIOQUIA,GUARNE,AGUACATE HASS,"180,00","180,00","624,60","3,47",PERMANENTE
2024,ANTIOQUIA,GUARNE,AGUACATE HASS,"33,00","70,00","297,00","9,00",PERMANENTE
2020,ANTIOQUIA,GUARNE,AGUACATE HASS,"37,36","60,36","336,23","9,00",PERMANENTE
2023,ANTIOQUIA,GUARNE,AGUACATE HASS,"35,36","54,00","318,24","9,00",PERMANENTE
2022,ANTIOQUIA,GUARNE,AGUACATE HASS,"180,00","182,00","1.620,00","9,00",PERMANENTE
2024,ANTIOQUIA,GUATAPE,AGUACATE HASS,"34,10","39,60","235,29","6,90",PERMANENTE
2020,ANTIOQUIA,GUATAPE,AGUACATE HASS,"35,00","35,00","227,50","6,50",PERMANENTE
2023,ANTIOQUIA,GUATAPE,AGUACATE HASS,"34,10","36,60","235,29","6,90",PERMANENTE
2022,ANTIOQUIA,GUATAPE,AGUACATE HASS,"34,10","35,60","221,65","6,50",PERMANENTE
2021,ANTIOQUIA,GUATAPE,AGUACATE HASS,"35,00","35,00","227,85","6,51",PERMANENTE
2020,ANTIOQUIA,JARDIN,AGUACATE HASS,"108,10","149,20","1.297,20","12,00",PERMANENTE
2023,ANTIOQUIA,JARDIN,AGUACATE HASS,"181,20","302,20","2.355,60","13,00",PERMANENTE
